Emotion,big-6,everyday-categories,occ-categories,fsre-categories,frijda-categories,extra-emotions-1,extra-emotions-2,extra-emotions-3,dimensions
abandonment,0,0,0,0,0,0,0,1,0
abhorrence,0,0,0,0,0,0,1,0,0
abomination,0,0,0,0,0,0,0,1,0
absorption,0,0,0,0,0,0,0,1,0
abstinence,0,0,0,0,0,0,1,0,0
acceptance,0,0,0,0,0,1,0,0,0
admiration,0,0,1,0,0,0,0,0,0
adoration,0,0,0,0,0,0,0,1,0
affection,0,1,0,0,0,0,0,0,0
affectionateness,0,0,0,0,0,0,0,1,0
affliction,0,0,0,0,0,0,0,1,0
aggravation,0,0,0,0,0,0,1,0,0
aggressiveness,0,0,0,0,0,0,1,0,0
agony,0,0,0,0,0,0,1,0,0
alarm,0,0,0,0,0,0,0,1,0
alienation,0,0,0,0,0,0,1,0,0
aliveness,0,0,0,0,0,0,0,1,0
aloofness,0,0,0,0,0,0,1,0,0
alteration,0,0,0,0,0,0,1,0,0
amazement,0,0,0,0,0,0,0,1,0
ambiance,0,0,0,0,0,0,0,1,0
amusement,0,1,0,0,0,0,0,0,0
anger,1,1,1,1,1,0,0,0,0
angst,0,0,0,0,0,0,1,0,0
anguish,0,0,0,0,0,0,0,1,0
animation,0,0,0,0,0,0,0,1,0
anticipation,0,0,0,0,0,0,0,0,0
antipathy,0,0,0,0,0,0,1,0,0
anxiety,0,1,0,1,0,0,0,0,0
apathy,0,0,0,0,0,0,1,0,0
appraisal,0,0,0,0,0,0,0,1,0
appreciation,0,0,1,0,0,0,0,0,0
arousal,0,0,0,0,0,1,0,0,1
arrogance,0,0,0,0,1,0,0,0,0
assimilation,0,0,0,0,0,0,1,0,0
astonishment,0,0,0,0,0,0,0,1,0
attraction,0,0,0,0,0,0,0,1,0
audaciousness,0,0,0,0,0,0,0,1,0
aversion,0,0,0,0,0,0,0,1,0
avoidance,0,0,0,0,0,0,0,1,0
awareness,0,0,0,0,0,0,0,1,0
awe,0,0,0,0,0,1,0,0,0
awfulness,0,0,0,0,0,0,0,1,0
awkwardness,0,0,0,0,0,0,0,1,0
badness,0,0,0,0,0,0,0,1,0
bashfulness,0,0,0,0,0,0,1,0,0
belief,0,0,0,0,0,0,0,1,0
bewilderment,0,0,0,0,0,0,0,1,0
bitterness,0,0,0,0,0,0,0,1,0
blame,0,0,0,0,0,1,0,0,0
blessedness,0,0,0,0,0,0,0,1,0
boldness,0,0,0,0,0,0,0,1,0
boredom,0,1,0,0,0,0,0,0,0
bravery,0,0,0,0,0,0,1,0,0
brightness,0,0,0,0,0,0,0,1,0
calmness,0,1,0,0,0,0,0,0,0
capableness,0,0,0,0,0,0,0,1,0
cautiousness,0,0,0,0,0,0,0,1,0
certainty,0,0,0,0,0,0,0,1,0
chastity,0,0,0,0,0,0,1,0,0
cheerfulness,0,0,0,0,0,0,1,0,0
cleverness,0,0,0,0,0,0,0,1,0
closeness,0,0,0,0,0,0,0,1,0
cloudiness,0,0,0,0,0,0,0,1,0
coercion,0,0,0,0,0,0,1,0,0
coldness,0,0,0,0,0,0,0,1,0
compassion,0,0,0,1,0,0,0,0,0
composure,0,0,0,0,0,0,0,1,0
compromise,0,0,0,0,0,1,0,0,0
compulsion,0,0,0,0,0,0,1,0,0
concern,0,0,0,0,0,1,0,0,0
confidence,0,1,0,0,0,0,0,0,0
conformity,0,0,0,0,0,0,1,0,0
confusion,0,0,0,0,0,1,0,0,0
consciousness,0,0,0,0,0,0,0,1,0
consideration,0,0,0,0,0,0,0,1,0
consonance,0,0,0,0,0,0,1,0,0
contempt,0,0,0,0,0,0,0,0,0
content,0,0,0,0,0,0,0,1,0
contentment,0,0,0,1,0,0,0,0,0
contrariness,0,0,0,0,0,0,1,0,0
courage,0,0,0,0,0,0,0,1,0
courageousness,0,0,0,0,0,0,0,1,0
covetousness,0,0,0,0,0,0,1,0,0
criticalness,0,0,0,0,0,0,0,1,0
crossness,0,0,0,0,0,0,0,1,0
curiosity,0,1,0,0,0,1,0,0,0
darkness,0,0,0,0,0,0,0,1,0
decency,0,0,0,0,0,0,1,0,0
defeat,0,0,0,0,0,0,0,1,0
defiance,0,0,0,0,0,0,0,1,0
delight,0,0,0,0,0,0,0,1,0
denial,0,0,0,0,0,1,0,0,0
depression,0,0,0,0,0,1,0,0,0
desire,0,0,0,0,1,0,0,0,0
desolation,0,0,0,0,0,0,0,1,0
despair,0,0,0,1,0,0,0,0,0
despicableness,0,0,0,0,0,0,0,1,0
determination,0,0,0,0,0,0,0,1,0
devastation,0,0,0,0,0,0,0,1,0
devotion,0,0,0,0,0,0,0,1,0
diffidence,0,0,0,0,0,0,0,1,0
diligence,0,0,0,0,0,0,1,0,0
dimension,0,0,0,0,0,0,0,1,0
disappointment,0,1,1,1,0,0,0,0,0
disbelief,0,0,0,0,0,0,0,1,0
disdain,0,0,0,0,0,0,0,1,0
disgrace,0,0,0,0,0,0,0,1,0
disgust,1,0,0,1,1,0,0,0,0
disillusionment,0,0,0,0,0,0,0,1,0
dislike,0,0,0,0,0,0,0,1,0
dismay,0,0,0,0,0,0,0,1,0
disorientation,0,0,0,0,0,0,0,1,0
disrespect,0,0,0,0,0,0,0,1,0
dissonance,0,0,0,0,0,0,0,0,0
distance,0,0,0,0,0,0,0,1,0
distress,0,0,1,0,0,0,0,0,0
distrust,0,0,0,0,0,0,0,1,0
disturbance,0,0,0,0,0,0,0,1,0
dominance,0,0,0,0,0,0,0,1,1
doubt,0,0,0,0,0,0,0,1,0
doubtfulness,0,0,0,0,0,0,0,1,0
dread,0,0,1,0,0,0,0,0,0
dullness,0,0,0,0,0,0,0,1,0
eagerness,0,0,0,0,0,0,0,1,0
earnestness,0,0,0,0,0,0,0,1,0
easiness,0,0,0,0,0,0,0,1,0
ecstasy,0,0,0,0,0,1,0,0,0
edginess,0,0,0,0,0,1,0,0,0
ego,0,0,0,0,0,0,1,0,0
elation,0,0,0,0,0,0,0,1,0
embarrassment,0,0,1,0,0,0,0,0,0
empathy,0,0,0,0,0,0,1,0,0
emptiness,0,0,0,0,0,0,0,1,0
encouragement,0,0,0,0,0,0,0,1,0
endurance,0,0,0,0,0,0,1,0,0
engagement,0,0,0,0,0,0,0,1,0
engrossment,0,0,0,0,0,0,0,1,0
enjoyment,0,0,0,0,1,0,0,0,0
enlightenment,0,0,0,0,0,0,1,0,0
enragement,0,0,0,0,0,0,0,1,0
enthusiasm,0,0,0,0,0,1,0,0,0
envy,0,0,0,0,0,0,0,0,0
eroticism,0,0,0,0,0,1,0,0,0
euphoria,0,0,0,0,0,0,1,0,0
exasperation,0,0,0,0,0,0,0,1,0
excitation,0,0,0,0,0,0,0,1,0
excitement,0,1,0,0,0,0,0,0,0
exhaustion,0,0,0,0,0,0,1,0,0
exploitation,0,0,0,0,0,0,0,1,0
exuberance,0,0,0,0,0,1,0,0,0
familiarity,0,0,0,0,0,0,1,0,0
fascination,0,0,0,0,0,0,0,1,0
fate,0,0,0,0,0,0,0,1,0
fatigue,0,0,0,0,0,0,0,1,0
fear,1,0,1,1,1,0,0,0,0
festivity,0,0,0,0,0,0,0,1,0
flatness,0,0,0,0,0,0,0,1,0
fondness,0,0,0,0,0,0,0,1,0
foolishness,0,0,0,0,0,0,1,0,0
forgiveness,0,0,0,0,0,0,0,1,0
fortune,0,0,0,0,0,0,0,1,0
freedom,0,0,0,0,0,0,0,1,0
fright,0,0,0,0,0,0,0,1,0
friskiness,0,0,0,0,0,0,0,1,0
frustration,0,0,0,0,0,0,0,1,0
fulfillment,0,0,0,0,0,0,0,1,0
furiousness,0,0,0,0,0,0,0,1,0
fury,0,0,0,0,0,0,0,1,0
gallantry,0,0,0,0,0,0,1,0,0
gayness,0,0,0,0,0,0,0,1,0
glee,0,0,0,0,0,0,0,1,0
gloominess,0,0,0,0,0,0,0,1,0
gluttony,0,0,0,0,0,0,1,0,0
goodness,0,0,0,0,0,0,0,1,0
grace,0,0,0,0,0,1,0,0,0
gratification,0,0,0,0,0,0,0,0,0
gratitude,0,0,1,0,0,0,0,0,0
greatness,0,0,0,0,0,0,0,1,0
greed,0,0,0,0,0,0,1,0,0
grief,0,0,0,0,0,1,0,0,0
guilt,0,0,0,1,0,0,0,0,0
happiness,1,0,0,1,0,0,0,0,0
hardiness,0,0,0,0,0,0,0,1,0
harmony,0,1,0,0,0,0,0,0,0
hate,0,0,1,1,0,0,1,0,0
helplessness,0,0,0,0,0,0,0,1,0
hesitance,0,0,0,0,0,0,0,1,0
hesitancy,0,0,0,0,0,0,0,1,0
honor,0,0,0,0,0,0,1,0,0
hope,0,0,1,0,0,0,0,0,0
hopefulness,0,0,0,0,0,0,0,1,0
horror,0,0,0,0,0,0,0,1,0
hostility,0,0,0,0,0,0,0,1,0
hotness,0,0,0,0,0,0,0,1,0
humbleness,0,0,0,0,0,0,1,0,0
humiliation,0,0,0,0,0,0,0,1,0
humility,0,0,0,0,1,0,0,0,0
hurt,0,0,0,0,0,0,0,1,0
ignorance,0,0,0,0,0,0,1,0,0
importance,0,0,0,0,0,0,0,1,0
impulse,0,0,0,0,0,0,0,1,0
impulsiveness,0,0,0,0,0,0,0,1,0
inadequacy,0,0,0,0,0,0,0,1,0
inadequateness,0,0,0,0,0,0,0,1,0
incapableness,0,0,0,0,0,0,0,1,0
